customer_id,product_id,interaction
847,207,1
61,295,1
61,265,1
859,93,1
859,256,1
859,224,1
859,197,1
859,192,1
162,177,1
690,276,1
690,300,1
938,28,1
938,133,1
457,232,1
457,226,1
152,213,1
152,287,1
152,225,1
152,4,1
757,193,1
64,26,1
54,291,1
54,20,1
1000,234,1
48,286,1
48,186,1
48,246,1
478,295,1
478,256,1
281,16,1
281,105,1
730,101,1
730,15,1
995,246,1
995,268,1
337,202,1
337,218,1
337,200,1
869,201,1
33,73,1
33,28,1
426,18,1
426,47,1
426,71,1
898,245,1
70,197,1
822,256,1
822,37,1
822,166,1
191,283,1
646,156,1
846,52,1
899,82,1
620,111,1
371,91,1
739,178,1
249,53,1
249,166,1
461,54,1
16,49,1
16,294,1
482,71,1
482,292,1
580,142,1
580,72,1
580,168,1
348,109,1
248,186,1
820,249,1
591,101,1
478,131,1
478,255,1
670,150,1
670,8,1
879,279,1
879,59,1
576,284,1
576,52,1
576,99,1
576,287,1
344,265,1
967,299,1
967,35,1
523,69,1
753,287,1
8,172,1
945,37,1
286,48,1
286,22,1
286,142,1
664,7,1
664,51,1
236,128,1
236,67,1
348,81,1
991,120,1
991,147,1
400,173,1
607,25,1
607,210,1
878,82,1
878,80,1
882,86,1
748,189,1
291,79,1
606,82,1
606,24,1
595,76,1
876,210,1
315,14,1
315,239,1
315,286,1
344,94,1
344,187,1
961,214,1
667,11,1
667,124,1
903,85,1
903,286,1
323,241,1
846,210,1
836,167,1
836,142,1
41,181,1
955,24,1
811,247,1
21,58,1
380,24,1
380,20,1
455,181,1
953,185,1
397,249,1
519,171,1
956,146,1
956,45,1
198,294,1
198,210,1
481,73,1
744,270,1
744,169,1
744,72,1
441,292,1
441,153,1
441,285,1
175,98,1
796,224,1
796,7,1
288,29,1
276,153,1
599,291,1
792,187,1
792,268,1
792,105,1
968,92,1
134,140,1
134,117,1
59,146,1
303,95,1
847,228,1
845,36,1
471,248,1
471,192,1
572,76,1
572,128,1
343,199,1
196,277,1
764,220,1
764,263,1
26,138,1
561,159,1
744,129,1
744,163,1
744,138,1
590,135,1
297,260,1
856,62,1
856,233,1
940,228,1
581,20,1
581,263,1
220,36,1
594,180,1
468,35,1
42,91,1
418,281,1
367,152,1
367,29,1
367,183,1
871,183,1
547,133,1
27,186,1
629,273,1
468,22,1
438,74,1
769,17,1
769,211,1
180,43,1
1000,142,1
1000,97,1
120,97,1
737,32,1
92,40,1
92,127,1
92,93,1
277,185,1
923,212,1
923,66,1
923,142,1
568,213,1
568,195,1
686,150,1
878,210,1
861,174,1
861,229,1
939,204,1
276,199,1
276,280,1
618,150,1
41,137,1
812,255,1
944,183,1
944,173,1
944,63,1
444,6,1
444,200,1
521,272,1
610,246,1
594,216,1
480,295,1
480,141,1
637,171,1
637,181,1
637,192,1
786,201,1
786,95,1
786,132,1
425,96,1
740,69,1
740,66,1
740,163,1
249,170,1
139,270,1
948,121,1
638,178,1
20,244,1
20,55,1
299,78,1
535,234,1
535,102,1
535,136,1
360,30,1
369,267,1
369,29,1
369,15,1
805,192,1
805,198,1
289,187,1
289,59,1
501,47,1
501,300,1
501,202,1
404,32,1
404,174,1
404,202,1
404,260,1
404,300,1
544,6,1
182,186,1
182,190,1
182,27,1
776,50,1
776,257,1
776,286,1
933,105,1
559,71,1
113,203,1
113,33,1
113,37,1
951,63,1
951,82,1
158,108,1
158,267,1
391,298,1
391,148,1
518,160,1
518,243,1
518,69,1
518,257,1
134,39,1
338,150,1
253,112,1
253,35,1
669,271,1
902,104,1
948,232,1
948,162,1
948,33,1
99,258,1
99,253,1
999,200,1
215,113,1
31,273,1
31,141,1
399,33,1
436,244,1
436,239,1
462,220,1
462,198,1
959,210,1
959,152,1
965,78,1
965,256,1
479,247,1
479,117,1
87,229,1
886,239,1
886,181,1
886,240,1
886,266,1
546,105,1
546,149,1
546,223,1
518,11,1
518,265,1
518,38,1
518,12,1
979,287,1
44,83,1
953,77,1
953,218,1
953,35,1
730,65,1
491,229,1
491,142,1
491,7,1
970,240,1
970,273,1
46,168,1
46,35,1
46,15,1
127,45,1
74,119,1
74,57,1
180,70,1
827,200,1
827,239,1
306,147,1
804,264,1
763,3,1
620,103,1
620,218,1
142,115,1
316,90,1
316,143,1
260,186,1
7,66,1
7,28,1
136,190,1
804,299,1
804,292,1
804,286,1
804,78,1
163,21,1
57,124,1
672,94,1
672,39,1
452,107,1
452,20,1
582,104,1
582,100,1
273,97,1
273,239,1
848,260,1
848,29,1
156,17,1
156,64,1
852,13,1
915,300,1
915,186,1
915,168,1
405,217,1
206,46,1
206,56,1
483,177,1
720,112,1
720,141,1
762,1,1
762,171,1
762,233,1
693,215,1
693,52,1
353,128,1
129,60,1
322,156,1
322,295,1
979,236,1
979,201,1
979,281,1
387,299,1
387,122,1
445,175,1
994,236,1
994,79,1
994,266,1
250,157,1
840,188,1
324,274,1
306,88,1
478,274,1
478,235,1
478,128,1
74,174,1
74,256,1
74,165,1
798,220,1
798,170,1
798,68,1
798,72,1
594,78,1
569,108,1
569,235,1
569,72,1
316,110,1
316,9,1
490,293,1
490,3,1
836,279,1
377,252,1
622,102,1
622,59,1
622,229,1
95,286,1
95,223,1
334,297,1
334,288,1
334,147,1
845,298,1
845,230,1
845,206,1
660,113,1
660,150,1
538,280,1
538,134,1
138,95,1
138,151,1
77,221,1
986,76,1
986,95,1
710,275,1
710,15,1
710,95,1
710,218,1
763,29,1
763,293,1
146,243,1
175,81,1
175,105,1
270,276,1
270,277,1
268,276,1
268,72,1
205,220,1
17,124,1
17,40,1
956,269,1
947,36,1
947,74,1
350,117,1
834,155,1
834,49,1
270,32,1
270,235,1
304,47,1
390,237,1
390,129,1
983,195,1
232,31,1
232,281,1
232,196,1
462,36,1
462,153,1
462,21,1
625,63,1
392,193,1
154,18,1
154,25,1
731,172,1
731,198,1
450,231,1
450,194,1
182,283,1
182,48,1
182,144,1
291,126,1
291,127,1
269,277,1
269,67,1
269,287,1
968,76,1
540,282,1
540,66,1
540,178,1
323,48,1
323,130,1
697,28,1
747,267,1
747,210,1
747,101,1
747,300,1
731,243,1
731,189,1
731,233,1
975,265,1
975,86,1
975,203,1
975,87,1
982,265,1
982,48,1
707,182,1
707,123,1
460,2,1
209,68,1
218,174,1
218,292,1
98,37,1
98,229,1
804,262,1
870,252,1
510,142,1
555,187,1
506,52,1
506,183,1
509,248,1
60,81,1
60,51,1
60,189,1
60,97,1
319,235,1
116,63,1
714,232,1
778,155,1
174,57,1
174,159,1
505,168,1
505,95,1
979,297,1
979,95,1
82,50,1
82,15,1
82,49,1
378,19,1
378,157,1
392,196,1
890,223,1
890,3,1
705,210,1
843,199,1
843,216,1
4,125,1
266,104,1
266,292,1
814,278,1
709,279,1
759,177,1
573,210,1
694,122,1
308,230,1
308,161,1
308,212,1
308,251,1
759,90,1
502,295,1
502,36,1
502,184,1
502,142,1
703,145,1
490,288,1
490,82,1
594,131,1
594,173,1
222,239,1
222,104,1
553,166,1
116,279,1
576,264,1
137,237,1
779,1,1
868,10,1
868,204,1
19,192,1
19,221,1
19,226,1
19,251,1
717,156,1
316,288,1
316,20,1
209,88,1
209,181,1
209,247,1
209,281,1
209,105,1
212,131,1
212,277,1
212,37,1
212,197,1
971,98,1
25,251,1
930,89,1
584,195,1
584,73,1
