transaction_id,customer_id,product_id,quantity,total_value,transaction_date
1,847,207,1,590.62,2025-10-23 03:41:24.694093
2,61,295,1,873.03,2025-03-13 18:30:47.694093
3,61,265,1,828.9,2025-03-13 18:30:47.694093
4,859,93,2,2504.6,2025-03-20 09:13:00.694093
5,859,256,1,710.39,2025-03-20 09:13:00.694093
6,859,224,1,972.89,2025-03-20 09:13:00.694093
7,859,197,1,1436.77,2025-03-20 09:13:00.694093
8,859,192,2,1031.86,2025-03-20 09:13:00.694093
9,162,177,3,3413.34,2025-02-09 11:07:45.694093
10,690,276,3,367.23,2025-09-10 04:53:22.694093
11,690,300,1,348.39,2025-09-10 04:53:22.694093
12,938,28,1,1346.36,2025-10-22 14:01:57.694093
13,938,133,2,989.22,2025-10-22 14:01:57.694093
14,457,232,1,1127.73,2025-10-27 08:21:53.694093
15,457,226,1,1060.3,2025-10-27 08:21:53.694093
16,152,213,1,40.78,2025-08-30 14:48:18.694093
17,152,287,1,767.7,2025-08-30 14:48:18.694093
18,152,225,1,1141.26,2025-08-30 14:48:18.694093
19,152,4,1,1459.57,2025-08-30 14:48:18.694093
20,757,193,2,511.88,2025-09-10 01:50:34.694093
21,64,26,2,717.88,2025-01-08 05:48:59.694093
22,54,291,2,1278.96,2025-04-13 04:04:47.694093
23,54,20,1,449.05,2025-04-13 04:04:47.694093
24,1000,234,1,1025.61,2025-07-21 15:24:03.694093
25,48,286,2,2390.42,2025-08-17 18:59:30.694093
26,48,186,2,2341.88,2025-08-17 18:59:30.694093
27,48,246,2,2857.52,2025-08-17 18:59:30.694093
28,478,295,3,2619.09,2025-09-21 01:24:17.694093
29,478,256,1,710.39,2025-09-21 01:24:17.694093
30,281,16,2,1928.1,2025-10-08 05:33:05.694093
31,281,105,1,1115.65,2025-10-08 05:33:05.694093
32,730,101,3,2931.54,2025-11-16 18:00:19.694093
33,730,15,1,432.75,2025-11-16 18:00:19.694093
34,995,246,2,2857.52,2025-03-06 02:02:21.694093
35,995,268,2,2580.06,2025-03-06 02:02:21.694093
36,337,202,1,1426.95,2025-10-01 23:50:20.694093
37,337,218,1,158.66,2025-10-01 23:50:20.694093
38,337,200,1,543.62,2025-10-01 23:50:20.694093
39,869,201,1,516.67,2025-03-31 01:34:17.694093
40,33,73,3,826.56,2025-09-28 04:05:33.694093
41,33,28,2,2692.72,2025-09-28 04:05:33.694093
42,426,18,1,291.05,2025-04-24 21:41:28.694093
43,426,47,2,2238.3,2025-04-24 21:41:28.694093
44,426,71,2,725.22,2025-04-24 21:41:28.694093
45,898,245,1,320.2,2025-04-13 02:47:11.694093
46,70,197,3,4310.31,2025-03-08 14:10:38.694093
47,822,256,2,1420.78,2025-09-03 01:06:37.694093
48,822,37,1,1352.54,2025-09-03 01:06:37.694093
49,822,166,2,698.98,2025-09-03 01:06:37.694093
50,191,283,1,893.89,2025-12-07 12:25:17.694093
51,646,156,2,2207.66,2025-07-04 09:40:40.694093
52,846,52,1,1281.28,2025-01-31 15:49:03.694093
53,899,82,2,1806.14,2025-10-20 02:22:40.694093
54,620,111,1,1258.49,2025-01-17 20:06:18.694093
55,371,91,1,445.58,2025-06-23 13:26:25.694093
56,739,178,1,1226.62,2025-01-05 00:31:09.694093
57,249,53,2,2607.2,2025-10-27 10:25:01.694093
58,249,166,2,698.98,2025-10-27 10:25:01.694093
59,461,54,1,1418.12,2025-01-14 16:54:28.694093
60,16,49,1,356.71,2025-08-27 02:30:31.694093
61,16,294,3,189.0,2025-08-27 02:30:31.694093
62,482,71,2,725.22,2025-11-18 05:23:30.694093
63,482,292,1,737.83,2025-11-18 05:23:30.694093
64,580,142,1,197.61,2025-10-26 16:41:49.694093
65,580,72,1,219.53,2025-10-26 16:41:49.694093
66,580,168,1,770.72,2025-10-26 16:41:49.694093
67,348,109,1,1228.0,2025-11-16 10:32:12.694093
68,248,186,1,1170.94,2025-01-29 20:34:22.694093
69,820,249,1,497.15,2025-06-15 00:54:47.694093
70,591,101,1,977.18,2025-10-12 17:49:10.694093
71,478,131,1,704.87,2025-12-11 13:01:28.694093
