product_id,name,category,brand,price,created_at,is_active
1,Roupas Nike Consequatur,Roupas,Nike,1120.08,2025-04-22 22:12:56,1
2,Calçados Adidas Dignissimos,Calçados,Adidas,235.12,2025-11-22 13:11:57,1
3,Roupas Nike Quis,Roupas,Nike,898.02,2025-01-08 14:24:14,1
4,Roupas Nike Earum,Roupas,Nike,167.73,2025-09-07 01:24:22,1
5,Calçados Nike Sequi,Calçados,Nike,855.03,2024-12-12 19:10:22,1
6,Casa Brastemp Deleniti,Casa,Brastemp,354.05,2025-12-09 19:31:02,1
7,Casa Brastemp Necessitatibus,Casa,Brastemp,1219.86,2025-09-12 23:46:39,1
8,Roupas Adidas Omnis,Roupas,Adidas,1056.26,2025-10-02 17:57:25,1
9,Acessórios Apple Quo,Acessórios,Apple,258.55,2025-08-21 15:33:06,1
10,Acessórios Rayban Exercitationem,Acessórios,Rayban,166.34,2025-09-08 04:29:25,1
11,Roupas Puma Veritatis,Roupas,Puma,1275.82,2025-04-20 17:56:33,1
12,Casa Brastemp Itaque,Casa,Brastemp,1216.48,2025-05-09 17:34:30,1
13,Eletrônicos Apple Libero,Eletrônicos,Apple,1460.48,2024-12-20 17:50:47,1
14,Eletrônicos Apple Vitae,Eletrônicos,Apple,841.5,2024-12-16 13:03:35,1
15,Casa Brastemp Nobis,Casa,Brastemp,878.71,2025-03-06 01:26:57,1
16,Roupas Nike Totam,Roupas,Nike,1002.06,2025-01-15 20:22:00,1
17,Acessórios Rayban Nobis,Acessórios,Rayban,1287.32,2025-06-07 23:57:00,1
18,Roupas Reserva Illum,Roupas,Reserva,438.62,2025-06-29 18:56:07,1
19,Acessórios Oakley Quisquam,Acessórios,Oakley,574.17,2025-11-19 08:05:45,1
20,Calçados Puma Dolorem,Calçados,Puma,1061.68,2025-06-26 00:37:48,1
21,Roupas Adidas Corrupti,Roupas,Adidas,815.19,2025-05-17 18:52:13,1
22,Calçados Adidas Iusto,Calçados,Adidas,709.52,2025-01-17 23:12:03,1
23,Acessórios Oakley Provident,Acessórios,Oakley,1036.38,2025-01-10 01:16:05,1
24,Roupas Adidas Ipsa,Roupas,Adidas,1238.05,2025-01-18 02:05:04,1
25,Acessórios Samsung Ullam,Acessórios,Samsung,423.58,2025-04-22 00:49:10,1
26,Calçados Puma Dicta,Calçados,Puma,342.56,2025-01-03 19:34:27,1
