transaction_id,customer_id,product_id,quantity,total_value,transaction_date
1,847,207,1,1108.68,2025-05-24 14:23:44.080821
2,61,297,1,749.77,2025-12-03 16:13:17.080821
3,9,66,3,3899.52,2025-09-29 21:28:13.080821
4,371,56,3,182.76,2025-04-09 22:28:58.080821
5,224,228,1,1090.29,2025-01-02 19:06:41.080821
6,818,83,1,261.43,2025-08-10 21:24:25.080821
7,743,156,1,351.7,2025-06-27 07:15:58.080821
8,75,274,1,1004.0,2025-02-27 01:33:40.080821
9,940,272,2,1003.92,2024-12-29 12:07:24.080821
10,688,186,1,1257.32,2025-08-26 05:00:53.080821
11,496,270,1,963.13,2025-05-29 11:10:51.080821
12,888,34,1,905.96,2025-07-24 11:09:26.080821
13,839,5,1,855.03,2025-09-07 00:09:47.080821
14,225,13,2,2920.96,2024-12-18 12:46:31.080821
15,477,189,1,1138.72,2025-07-09 07:22:00.080821
16,549,103,2,2169.78,2025-02-28 10:15:04.080821
17,35,227,1,480.74,2025-08-08 17:10:34.080821
18,925,269,1,296.79,2025-06-03 06:13:08.080821
19,822,272,1,501.96,2025-11-30 21:59:55.080821
20,992,39,1,34.77,2025-11-08 10:27:04.080821
21,504,233,1,465.48,2025-05-29 02:57:19.080821
22,705,192,1,859.04,2025-06-23 19:03:22.080821
23,62,114,1,338.81,2025-10-28 01:17:33.080821
24,737,241,2,2477.02,2025-09-14 08:50:02.080821
25,810,207,1,1108.68,2025-10-23 10:01:05.080821
26,505,36,2,2064.22,2025-04-11 06:30:24.080821
27,805,18,1,438.62,2025-11-26 17:59:24.080821
28,819,20,2,2123.36,2025-04-06 10:49:03.080821
29,615,238,1,720.01,2025-07-21 11:06:40.080821
30,773,3,1,898.02,2025-10-31 11:11:10.080821
31,688,189,2,2277.44,2025-07-26 13:35:02.080821
32,955,145,1,713.53,2025-12-01 18:25:48.080821
33,346,293,1,436.08,2024-12-25 09:12:05.080821
34,475,11,2,2551.64,2025-05-26 09:34:12.080821
